iter	Passed	Remaining
711	3460	1399
712	3466	1395
713	3470	1390
714	3473	1384
715	3478	1379
716	3484	1375
717	3487	1369
718	3490	1364
719	3494	1358
720	3501	1354
721	3505	1349
722	3509	1344
723	3515	1340
724	3518	1334
725	3522	1329
726	3526	1324
727	3530	1319
728	3535	1314
729	3537	1308
730	3541	1303
731	3548	1299
732	3555	1294
733	3562	1291
734	3564	1285
735	3567	1279
736	3569	1273
737	3572	1268
738	3575	1262
739	3577	1256
740	3579	1251
741	3581	1245
742	3584	1239
743	3586	1234
744	3588	1228
745	3590	1222
746	3593	1216
747	3595	1211
748	3597	1205
749	3599	1199
750	3602	1194
751	3604	1188
752	3606	1183
753	3608	1177
754	3610	1171
755	3612	1165
756	3615	1160
757	3617	1154
758	3618	1149
759	3621	1143
760	3623	1137
761	3625	1132
762	3628	1127
763	3630	1121
764	3633	1116
765	3635	1110
766	3637	1105
767	3639	1099
768	3642	1094
769	3644	1088
770	3646	1083
771	3649	1077
772	3651	1072
773	3654	1066
774	3655	1061
775	3658	1055
776	3660	1050
777	3663	1045
778	3664	1039
779	3667	1034
780	3669	781	3781	3671	782	3675	1018
783	3678	1013
784	3681	1008
785	3684	1003
786	3688	998
787	3694	994
788	3700	989
789	3703	984
790	3709	980
791	3712	974
792	3716	970
793	3719	965
794	3724	960
795	3727	955
796	3732	950
797	3735	945
798	3738	940
799	3742	935
800	3747	930
801	3750	925
802	3752	920
803	3756	915
804	3763	911
805	3766	906
806	3771	902
807	3775	897
808	3779	892
809	3782	887
810	3789	883
811	3794	878
812	3797	873
813	3802	868
814	3806	864
815	3810	859
816	3812	854
817	3815	849
818	3819	844
819	3821	838
820	3824	833
821	3826	828
822	3830	823
823	3833	818
824	3840	814
825	3842	809
826	3845	804
827	3848	799
828	3851	794
829	3854	789
830	3858	784
831	3862	779
832	3867	775
833	3870	770
834	3875	765
835	3879	761
836	3884	756
837	3888	751
838	3891	746
839	3896	742
840	3898	737
841	3902	732
842	3908	727
843	3913	723
844	3916	718
845	3919	713
846	3926	709
847	3929	704
848	3935	699
849	3938	694
850	3941	690
851	3944	685
852	3947	680
853	3950	675
854	3953	670
855	3956	665
856	3958	660
857	3962	655
858	3964	650
859	3969	646
860	3974	641
861	3978	636
862	3980	631
863	3983	627
864	3986	622
865	3990	617
866	3994	612
867	3997	607
868	4003	603
869	4009	599
870	4012	594
871	4015	589
872	4019	584
873	4024	580
874	4027	575
875	4031	570
876	4034	565
877	4038	561
878	4041	556
879	4044	551
880	4047	546
881	4051	541
882	4053	537
883	4058	532
884	4061	527
885	4064	523
886	4066	518
887	4072	513
888	4075	508
889	4079	504
890	4081	499
891	4084	494
892	4087	489
893	4092	485
894	4097	480
895	4103	476
896	4107	471
897	4112	467
898	4117	462
899	4119	457
900	4123	453
901	4127	448
902	4131	443
903	4135	439
904	4136	434
905	4139	429
906	4142	424
907	4145	420
908	4150	415
909	4155	410
910	4157	406
911	4159	401
912	4912	4162913	4913	4165914	4914	4169915	4915	4173	382
916	4177	378
917	4179	373
918	4183	368
919	4186920	4920	4189921	4921	4193	354
922	4196	350
923	4200	345
924	4204	340
925	4208	336
926	4211	331
927	4214	326
928	4218	322
929	4220	317
930	4223	312
931	4226	308
932	4229	303
933	4231	299
934	4233	294
935	4236	289
936	4239	285
937	4242	280
938	4244	275
939	4248	271
940	4252	266
941	4254	261
942	4258	257
943	4261	252
944	4263	248
945	4267	243
946	4270	238
947	4272	234
948	4275	229
949	4278	225
950	4280	220
951	4283952	4952	4285953	4953	4287954	4954	4289955	4955	4292	197
956	4294957	4957	4296958	4301	183
959	4315	179
960	4317	175
961	4319	170
962	4320	166
963	4322	161
964	4324	156
965	4325	152
966	4327	147
967	432968	4335	138
969	4336	134
970	4337	129
971	4339	124
972	4340	120
973	4342	115
974	4344	111
975	4345	106
976	4347	102
977	4349	97
978	4350	93
979	4352	88
980	4354	84
981	4355	79
982	4356	75
983	4358	70
984	4359	66
985	4361	61
986	4362	57
987	4364	53
988	4366	48
989	4367	44
990	4368	39
991	4369	35
992	4371	30
993	4372	26
994	4374	21
995	4375	17
996	4376	13
997	4377	8
998	4379	4
999	4380	0
379	0
64	0
